subject	BlockReport	condition	trial_num	yn	setsize	response	error	message	feedback	rt
1	experiment	RVvGV	110	0	6	1	0	TNEG	TNEG	332
1	experiment	RVvGV	111	0	18	1	0	TNEG	TNEG	362
1	experiment	RVvGV	112	0	12	1	0	TNEG	TNEG	304
1	experiment	RVvGV	113	1	12	40	0	HIT	HIT	368
1	experiment	RVvGV	114	0	6	1	0	TNEG	TNEG	397
1	experiment	RVvGV	115	1	18	40	0	HIT	HIT	282
1	experiment	RVvGV	116	1	3	40	0	HIT	HIT	335
1	experiment	RVvGV	117	0	18	1	0	TNEG	TNEG	339
1	experiment	RVvGV	118	1	3	1	1	MISS	MISS	360
1	experiment	RVvGV	119	1	18	1	1	MISS	MISS	411
1	experiment	RVvGV	120	1	6	40	0	HIT	HIT	692
1	experiment	RVvGV	121	0	3	1	0	TNEG	TNEG	431
1	experiment	RVvGV	122	1	12	40	0	HIT	HIT	367
1	experiment	RVvGV	123	1	6	40	0	HIT	HIT	326
1	experiment	RVvGV	124	1	6	40	0	HIT	HIT	293
1	experiment	RVvGV	125	1	12	40	0	HIT	HIT	352
1	experiment	RVvGV	126	1	12	40	0	HIT	HIT	439
1	experiment	RVvGV	127	1	6	40	0	HIT	HIT	356
1	experiment	RVvGV	128	0	12	1	0	TNEG	TNEG	584
1	experiment	RVvGV	129	0	12	1	0	TNEG	TNEG	472
1	experiment	RVvGV	130	1	3	40	0	HIT	HIT	448
1	experiment	RVvGV	131	1	12	40	0	HIT	HIT	431
1	experiment	RVvGV	132	0	3	1	0	TNEG	TNEG	559
1	experiment	RVvGV	133	0	18	1	0	TNEG	TNEG	643
1	experiment	RVvGV	134	1	18	40	0	HIT	HIT	419
1	experiment	RVvGV	135	0	18	1	0	TNEG	TNEG	587
1	experiment	RVvGV	136	0	6	1	0	TNEG	TNEG	443
1	experiment	RVvGV	137	1	18	40	0	HIT	HIT	370
1	experiment	RVvGV	138	1	3	40	0	HIT	HIT	663
1	experiment	RVvGV	139	0	18	1	0	TNEG	TNEG	691
1	experiment	RVvGV	140	1	18	40	0	HIT	HIT	698
1	experiment	RVvGV	141	0	3	1	0	TNEG	TNEG	336
1	experiment	RVvGV	142	1	6	40	0	HIT	HIT	412
1	experiment	RVvGV	143	1	3	40	0	HIT	HIT	383
1	experiment	RVvGV	144	0	6	1	0	TNEG	TNEG	421
1	experiment	RVvGV	145	0	3	1	0	TNEG	TNEG	376
1	experiment	RVvGV	146	0	6	1	0	TNEG	TNEG	357
1	experiment	RVvGV	147	0	18	1	0	TNEG	TNEG	370
1	experiment	RVvGV	148	1	18	40	0	HIT	HIT	338
1	experiment	RVvGV	149	1	12	40	0	HIT	HIT	312
1	experiment	RVvGV	150	1	18	40	0	HIT	HIT	387
1	experiment	RVvGV	151	0	12	1	0	TNEG	TNEG	304
1	experiment	RVvGV	152	1	6	40	0	HIT	HIT	315
1	experiment	RVvGV	153	1	12	40	0	HIT	HIT	390
1	experiment	RVvGV	154	1	18	40	0	HIT	HIT	330
1	experiment	RVvGV	155	0	12	1	0	TNEG	TNEG	368
1	experiment	RVvGV	156	0	12	1	0	TNEG	TNEG	496
1	experiment	RVvGV	157	1	3	40	0	HIT	HIT	328
1	experiment	RVvGV	158	1	18	40	0	HIT	HIT	386
1	experiment	RVvGV	159	1	18	40	0	HIT	HIT	378
1	experiment	RVvGV	160	0	6	1	0	TNEG	TNEG	373
1	experiment	RVvGV	161	0	3	1	0	TNEG	TNEG	377
1	experiment	RVvGV	162	1	6	40	0	HIT	HIT	349
1	experiment	RVvGV	163	1	18	40	0	HIT	HIT	554
1	experiment	RVvGV	164	1	3	40	0	HIT	HIT	613
1	experiment	RVvGV	165	0	3	1	0	TNEG	TNEG	407
1	experiment	RVvGV	166	0	12	1	0	TNEG	TNEG	344
1	experiment	RVvGV	167	0	3	1	0	TNEG	TNEG	415
1	experiment	RVvGV	168	0	3	1	0	TNEG	TNEG	359
1	experiment	RVvGV	169	1	6	40	0	HIT	HIT	355
1	experiment	RVvGV	170	0	3	1	0	TNEG	TNEG	423
1	experiment	RVvGV	171	0	6	40	1	FA	FA	445
1	experiment	RVvGV	172	0	18	1	0	TNEG	TNEG	467
1	experiment	RVvGV	173	1	6	40	0	HIT	HIT	437
1	experiment	RVvGV	174	0	3	1	0	TNEG	TNEG	527
1	experiment	RVvGV	175	0	3	1	0	TNEG	TNEG	463
1	experiment	RVvGV	176	0	18	1	0	TNEG	TNEG	411
1	experiment	RVvGV	177	0	18	1	0	TNEG	TNEG	355
1	experiment	RVvGV	178	1	12	40	0	HIT	HIT	448
1	experiment	RVvGV	179	0	18	1	0	TNEG	TNEG	409
1	experiment	RVvGV	180	0	3	1	0	TNEG	TNEG	519
1	experiment	RVvGV	182	0	6	1	0	TNEG	TNEG	482
1	experiment	RVvGV	183	1	6	40	0	HIT	HIT	438
1	experiment	RVvGV	184	1	3	40	0	HIT	HIT	338
1	experiment	RVvGV	185	1	18	40	0	HIT	HIT	352
1	experiment	RVvGV	186	0	12	1	0	TNEG	TNEG	315
1	experiment	RVvGV	187	1	12	40	0	HIT	HIT	346
1	experiment	RVvGV	188	1	6	40	0	HIT	HIT	366
1	experiment	RVvGV	189	1	3	40	0	HIT	HIT	353
1	experiment	RVvGV	190	1	18	40	0	HIT	HIT	375
1	experiment	RVvGV	191	1	3	40	0	HIT	HIT	361
1	experiment	RVvGV	192	0	12	1	0	TNEG	TNEG	394
1	experiment	RVvGV	193	0	3	1	0	TNEG	TNEG	456
1	experiment	RVvGV	194	0	18	1	0	TNEG	TNEG	415
1	experiment	RVvGV	195	0	3	1	0	TNEG	TNEG	386
1	experiment	RVvGV	196	0	18	1	0	TNEG	TNEG	325
1	experiment	RVvGV	197	1	3	40	0	HIT	HIT	376
1	experiment	RVvGV	198	0	18	1	0	TNEG	TNEG	453
1	experiment	RVvGV	199	0	18	1	0	TNEG	TNEG	366
1	experiment	RVvGV	200	1	18	40	0	HIT	HIT	382
1	experiment	RVvGV	201	1	6	40	0	HIT	HIT	327
1	experiment	RVvGV	202	0	12	1	0	TNEG	TNEG	346
1	experiment	RVvGV	203	0	3	1	0	TNEG	TNEG	424
1	experiment	RVvGV	204	0	6	1	0	TNEG	TNEG	414
1	experiment	RVvGV	205	1	3	40	0	HIT	HIT	393
1	experiment	RVvGV	206	1	18	40	0	HIT	HIT	388
1	experiment	RVvGV	207	0	3	1	0	TNEG	TNEG	359
1	experiment	RVvGV	208	1	12	40	0	HIT	HIT	537
1	experiment	RVvGV	209	0	3	1	0	TNEG	TNEG	352
1	experiment	RVvGV	210	1	6	40	0	HIT	HIT	831
1	experiment	RVvGV	211	1	6	40	0	HIT	HIT	446
1	experiment	RVvGV	212	0	18	1	0	TNEG	TNEG	421
1	experiment	RVvGV	213	0	3	1	0	TNEG	TNEG	472
1	experiment	RVvGV	214	1	12	40	0	HIT	HIT	432
1	experiment	RVvGV	215	1	6	40	0	HIT	HIT	334
1	experiment	RVvGV	216	1	6	40	0	HIT	HIT	430
1	experiment	RVvGV	217	1	3	40	0	HIT	HIT	497
1	experiment	RVvGV	218	1	6	40	0	HIT	HIT	357
1	experiment	RVvGV	219	1	12	40	0	HIT	HIT	432
1	experiment	RVvGV	220	0	18	1	0	TNEG	TNEG	411
1	experiment	RVvGV	221	0	18	1	0	TNEG	TNEG	412
1	experiment	RVvGV	222	1	3	40	0	HIT	HIT	408
1	experiment	RVvGV	223	0	18	1	0	TNEG	TNEG	571
1	experiment	RVvGV	224	1	3	40	0	HIT	HIT	319
1	experiment	RVvGV	225	0	6	1	0	TNEG	TNEG	356
1	experiment	RVvGV	226	1	18	40	0	HIT	HIT	339
1	experiment	RVvGV	227	1	6	40	0	HIT	HIT	382
1	experiment	RVvGV	228	1	18	1	1	MISS	MISS	315
1	experiment	RVvGV	229	1	18	40	0	HIT	HIT	281
1	experiment	RVvGV	230	1	3	40	0	HIT	HIT	303
1	experiment	RVvGV	231	1	6	40	0	HIT	HIT	269
1	experiment	RVvGV	232	0	12	1	0	TNEG	TNEG	337
1	experiment	RVvGV	233	0	12	1	0	TNEG	TNEG	360
1	experiment	RVvGV	234	0	6	1	0	TNEG	TNEG	324
1	experiment	RVvGV	235	0	12	1	0	TNEG	TNEG	375
1	experiment	RVvGV	236	1	6	40	0	HIT	HIT	333
1	experiment	RVvGV	237	0	12	1	0	TNEG	TNEG	352
1	experiment	RVvGV	238	1	12	40	0	HIT	HIT	344
1	experiment	RVvGV	239	0	3	1	0	TNEG	TNEG	511
1	experiment	RVvGV	240	1	12	40	0	HIT	HIT	367
1	experiment	RVvGV	241	0	6	1	0	TNEG	TNEG	460
1	experiment	RVvGV	242	0	3	1	0	TNEG	TNEG	471
1	experiment	RVvGV	243	1	18	40	0	HIT	HIT	482
1	experiment	RVvGV	244	1	3	1	1	MISS	MISS	471
1	experiment	RVvGV	245	0	3	1	0	TNEG	TNEG	422
1	experiment	RVvGV	246	0	18	1	0	TNEG	TNEG	466
1	experiment	RVvGV	247	1	3	40	0	HIT	HIT	384
1	experiment	RVvGV	248	0	6	1	0	TNEG	TNEG	437
1	experiment	RVvGV	249	0	3	1	0	TNEG	TNEG	480
1	experiment	RVvGV	250	1	18	40	0	HIT	HIT	473
1	experiment	RVvGV	251	1	18	40	0	HIT	HIT	458
1	experiment	RVvGV	252	0	6	1	0	TNEG	TNEG	389
1	experiment	RVvGV	253	1	12	40	0	HIT	HIT	688
1	experiment	RVvGV	254	1	12	40	0	HIT	HIT	336
1	experiment	RVvGV	255	1	12	40	0	HIT	HIT	471
1	experiment	RVvGV	256	0	12	1	0	TNEG	TNEG	415
1	experiment	RVvGV	257	0	6	1	0	TNEG	TNEG	605
1	experiment	RVvGV	258	1	12	40	0	HIT	HIT	416
1	experiment	RVvGV	259	1	3	40	0	HIT	HIT	352
1	experiment	RVvGV	260	1	18	40	0	HIT	HIT	363
1	experiment	RVvGV	261	0	18	1	0	TNEG	TNEG	418
1	experiment	RVvGV	262	1	6	40	0	HIT	HIT	428
1	experiment	RVvGV	263	0	18	1	0	TNEG	TNEG	419
1	experiment	RVvGV	264	0	6	1	0	TNEG	TNEG	541
1	experiment	RVvGV	265	0	3	1	0	TNEG	TNEG	342
1	experiment	RVvGV	266	0	6	1	0	TNEG	TNEG	452
1	experiment	RVvGV	267	0	18	1	0	TNEG	TNEG	497
1	experiment	RVvGV	268	0	12	1	0	TNEG	TNEG	390
1	experiment	RVvGV	269	0	6	1	0	TNEG	TNEG	397
1	experiment	RVvGV	270	0	3	1	0	TNEG	TNEG	784
1	experiment	RVvGV	271	0	6	1	0	TNEG	TNEG	444
1	experiment	RVvGV	272	1	18	40	0	HIT	HIT	458
1	experiment	RVvGV	273	1	12	40	0	HIT	HIT	311
1	experiment	RVvGV	274	0	18	1	0	TNEG	TNEG	395
1	experiment	RVvGV	275	1	3	40	0	HIT	HIT	344
1	experiment	RVvGV	276	1	18	40	0	HIT	HIT	579
1	experiment	RVvGV	277	1	3	1	1	MISS	MISS	463
1	experiment	RVvGV	278	1	18	1	1	MISS	MISS	370
1	experiment	RVvGV	279	1	3	1	1	MISS	MISS	407
1	experiment	RVvGV	280	0	6	1	0	TNEG	TNEG	349
1	experiment	RVvGV	281	1	18	40	0	HIT	HIT	371
1	experiment	RVvGV	282	0	3	1	0	TNEG	TNEG	399
1	experiment	RVvGV	283	0	12	1	0	TNEG	TNEG	367
1	experiment	RVvGV	284	1	6	40	0	HIT	HIT	349
1	experiment	RVvGV	285	1	6	40	0	HIT	HIT	262
1	experiment	RVvGV	286	1	3	40	0	HIT	HIT	376
1	experiment	RVvGV	287	0	18	1	0	TNEG	TNEG	363
1	experiment	RVvGV	288	0	12	1	0	TNEG	TNEG	351
1	experiment	RVvGV	289	0	3	1	0	TNEG	TNEG	383
1	experiment	RVvGV	290	0	12	1	0	TNEG	TNEG	368
1	experiment	RVvGV	291	0	12	1	0	TNEG	TNEG	304
1	experiment	RVvGV	292	0	12	1	0	TNEG	TNEG	311
1	experiment	RVvGV	293	0	3	1	0	TNEG	TNEG	350
1	experiment	RVvGV	294	1	12	40	0	HIT	HIT	511
1	experiment	RVvGV	295	1	6	40	0	HIT	HIT	517
1	experiment	RVvGV	296	0	18	1	0	TNEG	TNEG	363
1	experiment	RVvGV	297	0	3	1	0	TNEG	TNEG	480
1	experiment	RVvGV	298	0	12	1	0	TNEG	TNEG	383
1	experiment	RVvGV	299	1	18	40	0	HIT	HIT	442
1	experiment	RVvGV	300	1	6	40	0	HIT	HIT	340
1	experiment	RVvGV	302	0	12	1	0	TNEG	TNEG	335
1	experiment	RVvGV	303	0	3	1	0	TNEG	TNEG	384
1	experiment	RVvGV	304	0	6	1	0	TNEG	TNEG	207
1	experiment	RVvGV	305	1	6	40	0	HIT	HIT	421
1	experiment	RVvGV	306	0	6	1	0	TNEG	TNEG	295
1	experiment	RVvGV	307	0	6	1	0	TNEG	TNEG	327
1	experiment	RVvGV	308	0	6	1	0	TNEG	TNEG	272
1	experiment	RVvGV	309	0	18	1	0	TNEG	TNEG	255
1	experiment	RVvGV	310	0	12	1	0	TNEG	TNEG	234
1	experiment	RVvGV	311	1	12	40	0	HIT	HIT	370
1	experiment	RVvGV	312	1	6	40	0	HIT	HIT	302
1	experiment	RVvGV	313	0	18	1	0	TNEG	TNEG	311
1	experiment	RVvGV	314	1	18	40	0	HIT	HIT	303
1	experiment	RVvGV	315	1	12	40	0	HIT	HIT	370
1	experiment	RVvGV	316	1	18	40	0	HIT	HIT	317
1	experiment	RVvGV	317	1	18	40	0	HIT	HIT	502
1	experiment	RVvGV	318	0	6	1	0	TNEG	TNEG	358
1	experiment	RVvGV	319	0	18	1	0	TNEG	TNEG	438
1	experiment	RVvGV	320	0	18	1	0	TNEG	TNEG	270
1	experiment	RVvGV	321	0	3	1	0	TNEG	TNEG	464
1	experiment	RVvGV	322	1	18	40	0	HIT	HIT	308
1	experiment	RVvGV	323	1	6	40	0	HIT	HIT	334
1	experiment	RVvGV	324	0	12	1	0	TNEG	TNEG	546
1	experiment	RVvGV	325	0	6	1	0	TNEG	TNEG	407
1	experiment	RVvGV	326	0	12	1	0	TNEG	TNEG	577
1	experiment	RVvGV	327	0	3	1	0	TNEG	TNEG	407
1	experiment	RVvGV	328	1	18	40	0	HIT	HIT	380
1	experiment	RVvGV	329	0	6	1	0	TNEG	TNEG	326
1	experiment	RVvGV	330	1	18	40	0	HIT	HIT	373
1	experiment	RVvGV	331	1	3	40	0	HIT	HIT	600
1	experiment	RVvGV	332	0	12	1	0	TNEG	TNEG	1057
1	experiment	RVvGV	333	0	6	1	0	TNEG	TNEG	501
1	experiment	RVvGV	334	1	18	40	0	HIT	HIT	485
1	experiment	RVvGV	335	0	6	1	0	TNEG	TNEG	406
1	experiment	RVvGV	336	0	6	1	0	TNEG	TNEG	390
1	experiment	RVvGV	337	0	6	1	0	TNEG	TNEG	309
1	experiment	RVvGV	338	1	12	40	0	HIT	HIT	312
1	experiment	RVvGV	339	0	6	1	0	TNEG	TNEG	341
1	experiment	RVvGV	340	0	3	1	0	TNEG	TNEG	336
1	experiment	RVvGV	341	0	3	1	0	TNEG	TNEG	360
1	experiment	RVvGV	342	1	6	40	0	HIT	HIT	469
1	experiment	RVvGV	343	0	3	1	0	TNEG	TNEG	367
1	experiment	RVvGV	344	0	12	1	0	TNEG	TNEG	616
1	experiment	RVvGV	345	1	18	40	0	HIT	HIT	379
1	experiment	RVvGV	346	1	18	40	0	HIT	HIT	483
1	experiment	RVvGV	347	0	12	1	0	TNEG	TNEG	367
1	experiment	RVvGV	348	0	18	1	0	TNEG	TNEG	370
1	experiment	RVvGV	349	0	3	1	0	TNEG	TNEG	327
1	experiment	RVvGV	350	0	12	1	0	TNEG	TNEG	431
1	experiment	RVvGV	351	1	6	40	0	HIT	HIT	541
1	experiment	RVvGV	352	1	6	40	0	HIT	HIT	740
1	experiment	RVvGV	353	0	3	1	0	TNEG	TNEG	935
1	experiment	RVvGV	354	0	3	1	0	TNEG	TNEG	919
1	experiment	RVvGV	355	0	12	1	0	TNEG	TNEG	1488
1	experiment	RVvGV	356	0	6	1	0	TNEG	TNEG	318
1	experiment	RVvGV	357	1	12	40	0	HIT	HIT	384
1	experiment	RVvGV	358	1	18	1	1	MISS	MISS	274
1	experiment	RVvGV	359	1	3	40	0	HIT	HIT	335
1	experiment	RVvGV	360	1	12	40	0	HIT	HIT	327
1	experiment	RVvGV	361	0	18	1	0	TNEG	TNEG	324
1	experiment	RVvGV	362	0	18	1	0	TNEG	TNEG	331
1	experiment	RVvGV	363	1	18	1	1	MISS	MISS	305
1	experiment	RVvGV	364	1	3	40	0	HIT	HIT	295
1	experiment	RVvGV	365	0	6	1	0	TNEG	TNEG	349
1	experiment	RVvGV	366	1	3	40	0	HIT	HIT	272
1	experiment	RVvGV	367	1	6	40	0	HIT	HIT	877
1	experiment	RVvGV	368	0	12	1	0	TNEG	TNEG	504
1	experiment	RVvGV	369	0	12	1	0	TNEG	TNEG	487
1	experiment	RVvGV	370	0	6	1	0	TNEG	TNEG	548
1	experiment	RVvGV	371	0	6	1	0	TNEG	TNEG	701
1	experiment	RVvGV	372	0	3	1	0	TNEG	TNEG	328
1	experiment	RVvGV	373	0	6	1	0	TNEG	TNEG	332
1	experiment	RVvGV	374	1	12	40	0	HIT	HIT	407
1	experiment	RVvGV	375	0	18	1	0	TNEG	TNEG	450
1	experiment	RVvGV	376	0	6	1	0	TNEG	TNEG	516
1	experiment	RVvGV	377	0	12	1	0	TNEG	TNEG	12720
1	experiment	RVvGV	378	1	12	40	0	HIT	HIT	384
1	experiment	RVvGV	379	1	18	40	0	HIT	HIT	345
1	experiment	RVvGV	380	0	12	1	0	TNEG	TNEG	343
1	experiment	RVvGV	381	0	12	1	0	TNEG	TNEG	327
1	experiment	RVvGV	382	1	18	40	0	HIT	HIT	371
1	experiment	RVvGV	383	1	18	40	0	HIT	HIT	347
1	experiment	RVvGV	384	1	6	40	0	HIT	HIT	333
1	experiment	RVvGV	385	0	3	1	0	TNEG	TNEG	391
1	experiment	RVvGV	386	1	3	40	0	HIT	HIT	359
1	experiment	RVvGV	387	0	3	1	0	TNEG	TNEG	343
1	experiment	RVvGV	388	0	18	1	0	TNEG	TNEG	331
1	experiment	RVvGV	389	1	3	40	0	HIT	HIT	392
1	experiment	RVvGV	390	0	3	1	0	TNEG	TNEG	415
1	experiment	RVvGV	391	1	6	40	0	HIT	HIT	347
1	experiment	RVvGV	392	1	6	40	0	HIT	HIT	285
1	experiment	RVvGV	393	0	6	1	0	TNEG	TNEG	334
1	experiment	RVvGV	394	0	6	1	0	TNEG	TNEG	341
1	experiment	RVvGV	395	1	6	40	0	HIT	HIT	436
1	experiment	RVvGV	396	0	18	1	0	TNEG	TNEG	346
1	experiment	RVvGV	397	0	12	1	0	TNEG	TNEG	431
1	experiment	RVvGV	398	0	6	1	0	TNEG	TNEG	348
1	experiment	RVvGV	399	1	6	40	0	HIT	HIT	349
1	experiment	RVvGV	400	0	18	1	0	TNEG	TNEG	371
1	practice	RVvGV	1	1	3	40	0	HIT	HIT	849
1	practice	RVvGV	3	0	18	1	0	TNEG	TNEG	330
1	practice	RVvGV	4	0	6	1	0	TNEG	TNEG	295
1	practice	RVvGV	5	0	3	1	0	TNEG	TNEG	376
1	practice	RVvGV	6	1	18	40	0	HIT	HIT	350
1	practice	RVvGV	7	1	3	40	0	HIT	HIT	313
1	practice	RVvGV	8	1	18	1	1	MISS	MISS	270
1	practice	RVvGV	9	0	18	1	0	TNEG	TNEG	326
1	practice	RVvGV	10	0	3	1	0	TNEG	TNEG	600
1	experiment	RVvGV	1	1	6	40	0	HIT	HIT	332
1	experiment	RVvGV	2	0	12	1	0	TNEG	TNEG	307
1	experiment	RVvGV	3	0	3	1	0	TNEG	TNEG	336
1	experiment	RVvGV	4	0	6	1	0	TNEG	TNEG	278
1	experiment	RVvGV	5	1	18	40	0	HIT	HIT	325
1	experiment	RVvGV	6	1	3	40	0	HIT	HIT	297
1	experiment	RVvGV	7	0	6	1	0	TNEG	TNEG	374
1	experiment	RVvGV	8	1	12	40	0	HIT	HIT	403
1	experiment	RVvGV	9	0	12	1	0	TNEG	TNEG	331
